ID_weigelt,Region,Long,Lat,Archip_weigelt,Archip,Archip_1,Archip_2,Archip_3,Archip_4,Archip_5,Archip_6,Archip_7,Island,Island_1,Area
38877,8,9.105559,42.151732,Corsica,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Corse,NA,8739.21
53331,8,9.411553,41.233204,Sardinia,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola Maddalena,NA,21.94
53324,8,9.463804,41.212054,Sardinia,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola Caprera,NA,15.67
53385,8,10.309248,42.33214,Tuscan Archipelago,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola di Montecristo,NA,10.91
53387,8,10.901248,42.354098,Tuscan Archipelago,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola del Giglio,NA,22.36
52470,8,11.994308,36.78758,Pantelleria,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola di Pantelleria,NA,85.5
52815,8,12.057456,37.970554,Siciliy,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola Marettimo,NA,12.79
52234,8,12.867724,35.865351,NA,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola di Linosa,NA,5.89
53289,8,12.961755,40.90827,Pontine Islands,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola di Ponza,NA,8.38
52989,8,13.175649,38.705184,Siciliy,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola di Ustica,NA,8.69
52952,8,14.352801,38.542896,Siciliy,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola Alicudi,NA,5.32
52958,8,14.563371,38.570918,Siciliy,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola Filicudi,NA,9.79
52957,8,14.839468,38.562349,Siciliy,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola Salina,NA,27.5
52943,8,14.936326,38.487207,Siciliy,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola Lipari,NA,39.02
52909,8,14.970699,38.395055,Siciliy,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola Vulcano,NA,22.41
53002,8,15.215342,38.792724,Siciliy,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola Stromboli,NA,13.08
52317,10,22.983926,36.247219,NA,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisi Kythira,NA,281.94
52238,10,23.302799,35.865573,NA,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Antikythira,NA,21.74
53212,10,23.913956,40.32503,NA,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisis Amouliani,NA,7.39
53129,10,24.071346,39.330099,Sporades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Kyra Panagia,NA,27.01
52165,10,24.08851,34.841309,NA,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisos Gavdos,NA,33.84
53060,10,24.112264,39.079208,Sporades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisida Skantzoura,NA,7.33
53144,10,24.166899,39.391565,Sporades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisida Gioura,NA,12.88
52459,10,24.238643,36.789105,Cyclades,Greek*,Greek Islands,Sporades,Cyclades,Dodecanese,Ionian Islands,NA,NA,Nisida Antimilos,NA,9.45
