"species","ref.date","authority","described"
"Gallirallus storrsolsoni","Kirchman, J.J. & Steadman, D.W. (2006) Pacific Science, 60, 281–297.","Kirchman & Steadman 2006",2006
"Gallirallus temptatus","Steadman, D.W. (1998). Micronesica, 31, 319–345.","Kirchman & Steadman 2006",2006
"Gallirallus vekamatolu","Kirchman, J.J. & Steadman, D.W. (2005) Proceedings of the Biological Society of Washington, 118, 465–477.","Kirchman & Steadman 2005",2005
"Genyornis newtoni","Field, J. H., & Boles, W. E. (1998) Alcheringa, 22, 177-188.","Stirling & Zietz 1896",1896
"Geotrygon larva","Wetmore, A. (1920). Proceedings of the Biological Society of Washington, 33, 77–82.","Wetmore 1920",1920
"Geronogyps reliquus","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Gigantohierax suarezi",NA,"Arredondo & Arredondo 1999",1999
"Grallistrix auceps","Olson, S.L. & James, H.F. (1991) Ornithological Monographs, 1–88.","Olson & James 1991",1991
"Grallistrix erdmani","Olson, S.L. & James, H.F. (1991) Ornithological Monographs, 1–88.","Olson & James 1991",1991
"Grallistrix geleches","Olson, S.L. & James, H.F. (1991) Ornithological Monographs, 1–88.","Olson & James 1991",1991
"Grallistrix orion","Olson, S.L. & James, H.F. (1991) Ornithological Monographs, 1–88.","Olson & James 1991",1991
"Grus cubensis","Morgan & Ottenwalder 1993?","Fischer & Stephan 1971",1971
"Grus pagei","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Campbell 1995",1995
"Gymnogyps amplus","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1911",1911
"Gymnogyps howardae","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Gymnogyps varonai","Jull 2004?","Arredondo 1971",1971
"Gyps melitensis","XXX","Lydekker 1890",1890
"Hemignathus upupirostris","James, H.F. & Olson, S.L. (1991) Ornithological Monographs, 1–88.","James & Olson 1991",1991
"Hemignathus vorpalis","James, H.F. & Olson, S.L. (2003) The Auk, 120, 970–981.","James & Olson 2003",2003
"Henocitta brodkorbii","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Holman 1959",1959
"Hieraaetus moorei","Perry, G.L.W., et al. (2014) Quaternary Science Reviews, 105, 126–135.","Haast 1872",1872
"Hovacrex roberti","PaleoDB","Andrews 1897",1897
"Hypotaenidia ripleyi","Steadman, D.W. (1986) Pacific Science, 40, 17.","Steadman 1986",1986
"Hypotaenidia steadmani","Worthy, T.H. & Bollt, R. (2011) Pacific Science, 65, 69–85.","Worthy & Bollt 2011",2011
"Leptoptilos robustus","Meijer, H.J.M. & Due, R.A. (2010)  Zoological Journal of the Linnean Society, 160, 707–724.","Meijer & Due 2010",2010
"Loxioides kikuchi","James, H.F. & Olson, S.L. (2006) The Auk, 123, 335–344.","James & Olson 2006",2006
"Macropygia arevarevauupa","Kirchman, J.J. & Steadman, D.W. (2006) Pacific Science, 60, 281–297.","Steadman 1992",1992
"Macropygia heana","Steadman, D.W. (1992) Los Angeles County Museum of Natural History, Science Series, 36, 329–348.","Steadman 1992",1992
"Malacorhynchus scarletti","Olson, S.L. (1977) Emu, 77, 132–135.","Olson 1977",1977
"Megadyptes waitaha","Boessenkool, S., et al. (2009) Proceedings of the Royal Society B: Biological Sciences, 276, 815–821.","Boessenkool et al. 2009",2009
"Megalapteryx didinus","Hume, J.P. & Walters, M. (2017) Extinct Birds 2nd Edition","Owen 1883",1883
"Megapodius alimentum","Steadman, D.W. (1995) Science, 267, 1123–1131.","Steadman 1989",1989
"Megapodius amissus","Worthy, T.H. (2000) Journal of the Royal Society of New Zealand, 30, 337–364.","Worthy 2000",2000
"Megapodius molistructor","Balouet, J.C. & Olson, S.L. (1989) Smithsonian Contributions to Zoology, 1–38.","Balouet & Olson 1989",1989
"Megavitiornis altirostris","Worthy, T.H. (2000) Journal of the Royal Society of New Zealand, 30, 337–364.","Worthy 2000",2000
"Meleagris californicus","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1909",1909
"Meleagris crassipes","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1940",1940
"Melopyrrha latirostris","Steadman, D. & Morgan, G. (1985) Proceedings of the Biological Society of Washington, 98, 544–553.","Steadman & Morgan 1985",1985
"Micropalama chapmani","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Milvago alexandri",NA,"Olson 1976",1976
"Milvago brodkorbi","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Milvago carbo","Suárez, W. & Olson, S.L. (2003). Proceedings of the Biological Society of Washington, 116, 301–307.","Suárez & Olson 2003",2003
"Morus reyana","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Howard 1936",1936
"Mullerornis modestus","Burney, D. (2004) Journal of Human Evolution, 47, 25–63.","Milne-Edwards & Grandidier 1869",1869
"Mwalau walterlinii","Worthy, T.H., et al. (2015) Pacific Science, 69, 205–254.","Worthy et al. 2015",2015
"Mycteria wetmorei","Howard, H. (1969) Los Angeles County Museum Contributions in Science, 172, 1-11","Howard 1935",1935
"Nannonetta invisitata","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Natunaornis gigoura","Worthy, T.H. (2001) Journal of the Royal Society of New Zealand, 31, 763–794.","Worthy 2001",2001
"Neochen barbadiana",NA,"Brodkorb 1965",1965
"Neochen pugil","XXX","Winge 1888",1888
"Neogyps errans","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1916",1916
"Neophrontops americanus","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1916",1916
"Neortyx peninsularis","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Holman 1961",1961
"Nesotrochis debooyi","PaleoDB: Barrio Canas midden","Wetmore 1918",1918
"Nesotrochis picapicensis","Morgan & Ottenwalder 1993?","Fischer & Stephan 1971",1971
"Nesotrochis steganinos",NA,"Olson 1974",1974
"Numenius victima","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1942",1942
"Nuntius solitarius","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Nycticorax kalavikai","Steadman, D.W., et al. (2000) The Wilson Bulletin, 112, 165–186.","Steadman et al. 2000",2000
"Ocyplanus proeses",NA,"De Vis 1905",1905
"Oreopholus orcesi","Campbell Jr, K.E. (1976) Smithsonian Contributions to Paleobiology, 27, 155–168.","Campbell Jr 1976",1976
"Ornimegalonyx acevedoi",NA,"Arredondo 1982",1982
"Ornimegalonyx gigas",NA,"Arredondo 1982",1982
"Ornimegalonyx minor",NA,"Arredondo 1982",1982
"Ornimegalonyx oteroi","Morgan & Ottenwalder 1993?","Arredondo 1958",1958
"Orthiospiza howarthi","James, H.F. & Olson, S.L. (1991) Ornithological Monographs, 1–88.","James & Olson 1991",1991
"Orthonyx hypsilophus","PaleoDB","Baird 1985",1985
"Orthonyx wakefieldi","PaleoDB","Baird 1993",1993
"Oscaravis olsoni",NA,"Arredondo & Arredondo 2002",2002
"Otus frutuosoi","Rando, J.C., et al. (2013) Zootaxa, 3647, 343.","Rando et al. 2013",2013
"Otus mauli","Rando, J.C. et al. (2012). Zootaxa, 3182, 29–42.","Rando et al. 2012",2012
"Oxyura vantetsi",NA,"Worthy 2005",2005
