"species","ref.date","authority","described"
"Anas itchtucknee","Tyrberg, T. (2008). Oryctos, 7, 249–269.","McCoy 1963",1963
"Anas sanctahelenae","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Anas schneideri","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Emslie 1985",1985
"Anas talarae","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Anhinga beckeri","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Emslie 1998",1998
"Anomalopteryx didiformis","Worthy, T. (1998) Records of the Canterbury Museum, 12, 79–176.","Owen 1844",1844
"Aplonis diluvialis","Kirchman, J.J. & Steadman, D.W. (2006) Pacific Science, 60, 281–297.","Steadman 1989",1989
"Apteribis brevis","Olson, S.L. & James, H.F. (1991) Ornithological Monographs, 1–88.","Olson & James 1991",1991
"Apteribis glenos","Olson, S.L. & Wetmore, A. (1976). Proceedings of the Biological Society of Washington, 89, 247–258.","Olson & Wetmore 1976",1976
"Aptornis defossor","Worthy, T. (1998) Records of the Canterbury Museum, 12, 79–176.","Owen 1871",1871
"Aptornis otidiformis","Holdaway, R.N. (2000) Science, 287, 2250–2254.","Owen 1844",1844
"Aquila nipaloides","Louchard, A., et al. (2005) Paleontographica Abt. A, 272, 121-148.","Louchard et al. 2005",2005
"Ara autocthones","PaleoDB","Wetmore 1937",1937
"Asio priscus","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Howard 1964",1964
"Athene angelis","Mourer-Chauvire, C., et al. (1997) Comptes rendus de l’Académie des Sciences, 324, 677–684.","Mourer-Chauvire et al. 1997",1997
"Athene cretensis","PaleoDB","Weesie 1982",1982
"Belonopterus downsi","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Campbell Jr 2002",2002
"Belonopterus edmondi","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Biziura delautouri","IUCN 2019. The IUCN Red List of Threatened Species. Version 2019-2.","Forbes 1892",1892
"Bountyphaps obsoleta","Wragg, G.M. (1995) PhD Thesis, University of Oxford.","Worthy & Wragg 2008",2008
"Brachypteracias langrandi","Goodman, S.M. (2000) Ostrich, 71, 318–322.","Goodman 2000",2000
"Branta dickeyi","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1924",1924
"Branta hylobadistes","Olson, S.L. & James, H.F. (1991) Ornithological Monographs, 1–88.","Olson & James 1991",1991
"Branta rhuax","Paxinos, E.E., et al. (2002) Proceedings of the National Academy of Sciences, 99, 1399–1404.","Wetmore 1943",1943
"Breagyps clarki","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1910",1910
"Bubo insularis","Rook, L., et al. (2004). In: Sardinia, Corsica et Baleares Antiquae. pp. 11–29.","Mourer-Chauvire & Weesie 1986",1986
"Bubo osvaldoi",NA,"Arredondo & Olson 1994",1994
"Bubo sinclairi","Syverson, V.J. & Prothero, D.R. (2010) PalArch’s Journal of Vertebrate Palaeontology, 7, 18.","Miller 1911",1911
"Buteo hoffstetteri","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Buteo quadratus","PaleoDB","Wetmore 1937",1937
"Buteo sanya","Li, Y., et al. (2019) J World Prehist, 32, 143–178.","Hou 1998",1998
"Buteogallus borrasi","XXX","Arredondo 1970",1970
"Buteogallus daggetti","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1915",1915
"Buteogallus fragilis","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1911",1911
"Buteogallus milleri","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Howard 1932",1932
"Buteogallus terrestris","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Caloenas canacorum","Balouet, J.C. & Olson, S.L. (1989) Smithsonian Contributions to Zoology, 1–38.","Balouet & Olson 1989",1989
"Capellirallus karamu","Tennyson, A.J.D. & Martinson, P. (2006). Te Papa Press.","Falla 1954",1954
"Caprimulgus piurensis","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Caracara creightoni","Oswald, J.A., et al. (2019) Molecular phylogenetics and evolution, 140, 106576.","Brodkorb 1959",1959
"Caracara latebrosus","Wetmore, A. (1920). Proceedings of the Biological Society of Washington, 33, 77–82.","Wetmore 1920",1920
"Caracara major","Jones, W. et al. (2013). Journal of Paleontology, 87: 151-158.","Jones et al. 2013",2013
"Caracara seymouri","Suárez, W. & Olson, S.L. (2014) Proceedings of the Biological Society of Washington, 127, 299–310.","Suárez & Olson 2014",2014
