"Archip","sp_id","IDsps","species","commonName","grp","ext_date_min","ext_date_max","ext_date","year_last_recorded","p_records","p_threats","fossil_max","fossil_min"
"Cuba*",9,"x079","Gallinago kakuki","-","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas*",4,"x122","Gallinago sp./Bahama","Bahama snipe","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Tonga*",6,"x353","Gallinula sp./Eua","Eua moorhen","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Marquesas",5,"x319","Gallirallus epulare","Nuku Hiva rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Bismarck*",3,"x393","Gallirallus ernstmayri","New Ireland rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Marquesas",6,"x318","Gallirallus gracilitibia","Ua Huka rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Tonga*",7,"x335","Gallirallus huiatua","Niue rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Mariana*",4,"x377","Gallirallus pendiculentus","Tinian rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Mariana*",5,"x378","Gallirallus pisonii","Aguijan rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Marquesas",7,"x317","Gallirallus roletti","Tahuata rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Tonga*",8,"x200","Gallirallus sp./Haafeva","Ha'afeva rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Austral*",3,"x342","Gallirallus sp./Rurutu","Rurutu rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Mariana*",6,"x304","Gallirallus sp./Saipan","Saipan rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Society*",3,"x307","Gallirallus storrsolsoni","Huahine rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Mariana*",7,"x379","Gallirallus temptatus","Rota rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Tonga*",9,"x336","Gallirallus vekamatolu","Eua rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hispaniola*",4,"x108","Geotrygon larva","Puerto Rican quail-dove","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",10,"x601","Gigantohierax suarezi","-","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",22,"x148","Grallistrix auceps","Kauai stilt-owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",23,"x151","Grallistrix erdmani","Maui stilt-owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",24,"x150","Grallistrix geleches","Molokai stilt-owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",25,"x149","Grallistrix orion","Oahu stilt-owl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",11,"x110","Grus cubensis","Cuban flightless crane","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",12,"x103","Gymnogyps varonai","Cuban condor","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",26,"x169","Hemignathus upupirostris","Hoopoe-billed Akialoa","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",27,"x170","Hemignathus vorpalis","Giant nukupuu","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",17,"x228","Hieraaetus moorei","Haast's eagle","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar",8,"x479","Hovacrex roberti","Hova gallinule","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cook*",4,"x295","Hypotaenidia ripleyi","Mangaia rail / Ripley's rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Austral*",4,"x365","Hypotaenidia steadmani","Tubuai Rail","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Tonga*",10,"x349","Lalage sp./Eua","Eua triller","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",28,"x273","Larus sp./Kauai","Kauai gull","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Lesser Sunda*",1,"x426","Leptoptilos robustus","Flores giant stork","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",29,"x164","Loxioides kikuchi","Kauai palila","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Society*",4,"x303","Macropygia arevarevauupa","Huahine cuckoo-dove","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Marquesas",8,"x326","Macropygia heana","Marquesas cuckoo-dove","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",18,"x213","Malacorhynchus scarletti","Scarlett's duck","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",19,"x242","Megadyptes waitaha","Waitaha penguin","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",20,"x238","Megalapteryx didinus","Upland moa","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Fiji*",4,"x333","Megapodius alimentum","Consumed scrubfowl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Fiji*",5,"x363","Megapodius amissus","Viti Levu scrubfowl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Caledonia",8,"x288","Megapodius molistructor","pile-builder megapode","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Solomon*",3,"x410","Megapodius sp./Buka","Large solomons islands megapode","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Tonga*",11,"x352","Megapodius sp./Eua","Eua scrubfowl","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Bismarck*",4,"x382","Megapodius sp./NewIreland","New Ireland megapode","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Fiji*",6,"x362","Megavitiornis altirostris","Noble 'megapode'","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",13,"x114","Melopyrrha latirostris","Cayman finch","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hispaniola*",5,"x076","Milvago alexandri","Hispaniolan caracara","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cuba*",14,"x075","Milvago carbo","Cuban caracara","fossil",NA,NA,NA,NA,NA,NA,NA,NA
