"x","y","Elev","Temp","Prec","varT","varP","all_spp"
-11644392,7369101,285.382574750722,-3.2,432.003706332603,33.1499073416849,60.2810489307407,90
-11531392,7369101,386.699438591215,-3.2,424.485227430105,33.6635173414187,60.2325485156217,102
-11418392,7369101,399.423596927472,-3.5038920511203,437.961754237108,35.0033127703618,61.794913072499,105
-11305392,7369101,491.195360065528,-3.46040555908941,440.869863575058,36.4492844636059,64.1585270074852,134
-11192392,7369101,588.597150146388,-3.71141540243862,382.177283931939,38.0952944718323,56.9446373175833,131
-11079392,7369101,478.264191965876,-4.07749758203288,403.383451574412,39.6203820741577,52.0362946450462,121
-10966392,7369101,267.876215254625,-4.26014636490741,407.323450918037,43.1822778713561,49.6640116914545,114
-10853392,7369101,411.202199481319,-4.24795757108163,406.980039863719,46.0589129654906,52.165342088133,116
-10740392,7369101,642.976662491153,-3.09209753319371,427.386494588081,45.1961707566963,57.8483897852151,118
-10627392,7369101,412.22486555914,-2.68373081563406,477.042683843553,43.3656798277691,56.3015718646059,118
-10514392,7369101,909.771423530395,-3.14112821203754,441.627406595244,42.5050469807172,59.2101922591739,122
-10401392,7369101,1038.26805209735,-2.80263097338561,346.479737816654,43.6724338575255,46.3122096694864,125
-10288392,7369101,452.244353150941,-2.67968355147243,357.530300327092,46.0318600575514,44.8773586164931,129
-10175392,7369101,776.644401825617,-3.61184864985918,327.107599896691,49.1484350958737,56.2867391193467,130
-10062392,7369101,662.679442417343,-5.94269980901049,240.940384285169,51.8298454993517,57.5706147621804,128
-9949392,7369101,935.531446787983,-5.5699873375391,278.565615745454,52.981002644952,58.2284937745584,125
-9836392,7369101,845.522554452048,-4.97722480761575,344.962073171017,51.3519566675084,41.9222380652805,123
-9723392,7369101,852.384494689525,-4.77420026725101,374.250372636708,45.6817419710558,38.3767535940272,119
-9610392,7369101,651.532498685854,-5.04582041140796,366.91521072999,46.1737764515804,43.1741318650997,113
-9497392,7369101,840.619246194788,-4.95758212148938,342.063346053656,47.5334001722909,38.7160684209167,108
-9384392,7369101,1004.92250265598,-5.16844460340028,341.844398171382,47.8784377293961,34.8770025417614,106
-9271392,7369101,825.948391489964,-7.37119020153282,385.777271197923,47.7545659492505,36.3174802073362,108
-9158392,7369101,1094.37983655193,-7.71278002319602,438.920642060681,48.0021864272346,40.8465165246756,106
-9045392,7369101,1046.51515019276,-7.171033101172,451.586334100536,47.5097056089255,40.9818368085306,109
-8932392,7369101,1284.386609908,-6.10861907992466,450.811338988039,47.5911968225977,42.6910399253412,114
-8819392,7369101,560.523310054565,-5.17922850102731,388.399019967258,51.218592935164,45.6656774896681,115
-8706392,7369101,610.907742326862,-5.63361797056561,348.395598053449,51.3829318270602,46.3825428474352,116
-8593392,7369101,312.645732400255,-5.70311901333979,319.001587608607,50.5531561103458,42.012605036189,105
-8480392,7369101,295.0553930068,-5.93624292495248,295.887581667952,49.769340325093,39.6902139987993,98
-8367392,7369101,358.085579028607,-6.10056491178536,297.460193355936,49.4515389847378,39,93
-8254392,7369101,206.115712640131,-5.99953839249603,271.502078699577,49.8837149726446,40.6994387596093,83
-8141392,7369101,152.064389488021,-6.8201685539179,271.69322192341,50.3943898649788,43.1490928087556,76
-8028392,7369101,110.315570690564,-7.74649962501081,277.367171956384,50.3013003818008,43.7585669045293,72
-7915392,7369101,73.5874059088987,-8.94654884313382,282.48125581092,49.7696414416281,43,67
-7802392,7369101,104.024016980282,-9.62359068412356,278.759773181787,49.9840432859382,44.0679316669081,57
-7689392,7369101,128.425436373521,-9.97197271434059,269.582662014729,50.1555827043558,46.7350298555686,53
-7576392,7369101,131.099097208498,-10.2698387451469,255.22195224031,50.6563404499001,48.320362939615,50
-7463392,7369101,99.0965562897914,-10.5757973668378,250.910696157758,51.0331274068337,51.0867982757853,45
-7350392,7369101,168.29136575861,-10.7884825969904,249.309525437616,51.0246673994167,54,43
-7237392,7369101,163.756334215028,-11.1613567312346,231.901001103287,50.9553760543446,57.5044143652075,44
-7124392,7369101,175.502728791657,-11.7178899799416,232.301843728833,51.0554830845508,61,43
-7011392,7369101,153.73081015169,-12.1628746296522,232.591629230677,51.4108387305956,62.5239481600279,42
-6898392,7369101,112.444515196405,-12.570514746601,253.815251217649,52.0922853591004,58.9842099768078,41
-6785392,7369101,168.054137086535,-12.5768764248491,258.023638491989,53.0510253028816,59,38
-6672392,7369101,165.658478037694,-12.5,253.317791046413,52.5231674349859,57.160255407153,39
-6559392,7369101,217.689332838641,-12.4609623081155,256.542927564136,50.6221265761245,59.3741266363274,39
-6446392,7369101,249.460090345634,-12.1347501992108,257.553935597098,49.1317051576299,59.2591355762575,41
-6333392,7369101,334.853499432436,-11.7,262.658214544303,48.1030676919901,61.1258511931197,43
-6220392,7369101,380.186258379703,-11.6,265.736052029085,47.7007014292817,61,42
-6107392,7369101,215.436750482931,-11.1728842410038,252.216652385597,47.2675916955122,62.1870270556001,46
-5994392,7369101,180.502803053798,-11.0728842410038,286.63842383555,47.1839054028958,56.806714387552,40
-5881392,7369101,444.33326870917,-10.8,319.089096985808,46.9585760810999,51.3680314388481,40
-5768392,7369101,395.769455283553,-10.4866995856332,310.394925898592,43.8857556598989,49.6066772819281,40
-5655392,7369101,34.9271073270899,-10.2,275.81265541645,43.2626100276894,49,37
-5542392,7369101,28.5693872716763,-9.26043737461548,292.712467168923,39.3022702433411,40.5202749862444,30
-5429392,7369101,263.088111509554,-9.1,379.639069526579,39.3154922731356,36.6911403005326,37
-5316392,7369101,179.790211309195,-9.1,361.590366845227,39.8,37.4696238594915,37
-5203392,7369101,121.197638640975,-8.8,332.046930782891,40.2,43,38
-5090392,7369101,336.903953133917,-8.86925493019535,370.23626762319,40.3044565026763,43.8830357493058,38
-4977392,7369101,334.510155700908,-9.83527108367994,420.06703417141,40.5136410444643,41.1198407128361,35
-4864392,7369101,422.659551443444,-10.0876756928148,479.109484215219,40.9764053478182,39.0158257466615,37
-4751392,7369101,444.389259422748,-10.6210736577996,489.831428701925,36.6406391121355,39.0974162485343,36
-4638392,7369101,798.242089362779,-8.49877524878933,534.709353092108,33.5281056220908,42.1300698144627,34
-4525392,7369101,321.76799237061,-7.72477129228838,431.576315376126,32.6673358848457,44.6947700366318,34
-4412392,7369101,273.843345544256,-8.26737701771028,454.850574869146,34.0741841135923,39,28
-11757392,7256101,41.7911337745208,-1.99077842680762,540.434304683941,31.8222128490451,63.3351668509405,88
-11644392,7256101,235.86466610246,-2.20001261902903,482.421324705804,33.2256275305713,64,106
-11531392,7256101,462.935591339026,-2.50384367604839,436.405912404045,35.2780381766482,64.3979832109983,129
-11418392,7256101,382.968566274423,-2.49077842680762,444.281076212871,36.4945396527786,62.3866143645179,137
-11305392,7256101,409.435949714701,-2.92314715449641,483.024491150832,37.0349038361571,59.2443766728664,134
-11192392,7256101,423.376979274875,-2.92739427906214,494.432143891791,41.5930465641764,55.495686936895,120
-11079392,7256101,429.681656355064,-2.90003782586407,475.453247902909,42.4364659928938,53.2084760200098,117
-10966392,7256101,1052.2684092919,-2.96316890838937,461.391424927101,38.6182150847682,46.4958297074828,118
-10853392,7256101,2073.78417360359,-1.62968501850761,633.393120420093,36.6919509627893,43.8776963589973,123
-10740392,7256101,2115.91537115391,0.212403655062209,735.52757221586,33.9888986885914,44.6175880132859,131
-10627392,7256101,1153.13243299243,-0.729701179234581,694.045500828215,34.5545807483277,45.5770302729837,133
-10514392,7256101,816.918769166675,-3.5339731418548,441.342998276423,38.9253752114382,56.6773059913605,137
-10401392,7256101,1476.52753169828,-3.06744584504043,345.883775181472,42.8604837404535,55.2371027791319,136
-10288392,7256101,1479.23721077634,-2.80817567659137,404.480335284922,44.4111705059807,50.6658417785712,133
-10175392,7256101,1032.43998719635,-3.64235856241004,379.099406674007,45.8574996698068,61.1638620009119,133
-10062392,7256101,391.62156904771,-5.38736069498875,372.275971631046,52.8061890214412,64.4852444695454,133
-9949392,7256101,787.92781529515,-4.87464540226253,304.197475527589,47.7803583099273,55.241402481289,129
-9836392,7256101,557.007298046812,-3.81882806001702,342.462895351685,48.5116334221239,41.7227606333663,124
-9723392,7256101,662.220245481524,-3.51711082599229,348.033568828187,48.1759846685115,40.4860833242219,121
-9610392,7256101,593.432189426544,-3.19789231014601,363.97292621151,42.99209807488,40.0767219476266,121
-9497392,7256101,528.435339172337,-3.52106120039766,361.218848068253,43.3933993474347,40.4065293669386,122
-9384392,7256101,639.599157538664,-4.74215032851012,448.225396029889,48.1926781267317,36.9505486102882,118
-9271392,7256101,483.143215234303,-5.75754548265837,551.725491694737,45.792005564913,33.9792431104049,115
-9158392,7256101,768.27281710867,-5.70244169244906,562.364433766098,44.3884862653598,35.5148756430986,117
-9045392,7256101,790.928566814335,-6.38260158211262,527.902059068797,44.8469917233618,39.4147197507478,121
-8932392,7256101,1084.17509513687,-5.07865788161915,469.22887358067,46.9925743970043,42.5500878602503,124
-8819392,7256101,494.420020568175,-3.76766523097953,397.671749567475,51.3266474439028,45.658123323914,129
-8706392,7256101,412.970838145518,-4.13503957631717,359.300976343915,51.7751473010623,39.4971055076382,124
-8593392,7256101,192.490348027792,-4.40643323665276,329.531440078561,52.3064540720263,36.8308314047856,120
-8480392,7256101,233.314429710909,-4.60003782586408,314.718534387677,51.6856189826886,36,119
-8367392,7256101,273.160285777988,-5.05652531237042,312.684902660877,51.5832652325429,35.4518873913173,112
-8254392,7256101,106.550268553792,-5.16972152351907,279.837861494328,53.0193097086189,39,110
-8141392,7256101,161.694903286987,-5.62324516246016,285.193771878261,52.2077202472572,41.2535026009596,101
-8028392,7256101,236.175124686524,-6.34549968360846,299.695045132329,51.424024932235,40.1438910414707,90
-7915392,7256101,288.364142591806,-6.38729928060961,307.224057052181,51.1566592307638,40.9566786447292,82
-7802392,7256101,226.645133919551,-7.06659445576986,290.502971547677,51.466013547752,42.6485315192357,81
-7689392,7256101,55.5197574624059,-8.00077846519062,289.047728153092,51.7725703787359,45.3230398900444,69
-7576392,7256101,65.2862721924868,-8.71679559980723,292.462380580981,51.9844474717812,47.713824400733,60
-7463392,7256101,168.223869776286,-9.20447350333042,287.610697128919,52.0598490109442,51,52
-7350392,7256101,173.243305059772,-9.91980507770957,277.432191053136,52.1453432841463,54.0241186926477,43
-7237392,7256101,128.042401613442,-10.6000018693571,264.663374875149,52.2420933828569,57.9823027451354,43
-7124392,7256101,118.93794410057,-11.2019350881191,279.013529671764,52.258018484767,59,44
-7011392,7256101,166.759726435236,-11.0466463889195,293.376042240108,53.178743827588,55.4005122619426,43
-6898392,7256101,100.338583387634,-11.5217668184536,301.894300602699,53.3537458846981,54.2188116696012,42
-6785392,7256101,81.1198702585187,-11.4195824733867,298,51.9970009820428,54,45
-6672392,7256101,112.288464185844,-11.270909275318,297.128990429438,50.7235180992291,54,46
-6559392,7256101,176.33251230936,-11.3,288.15733829305,49.1943883950827,55.2722772572811,45
