"Archip","Elev","Temp","Prec","varT","varP"
"Cuba*",162.2655616,25.38316454,1580.556598,13.74631625,55.13616382
"Cuba*",323.1023598,26.1,1665.554334,15.12062594,59.92219181
"Cuba*",108.3639155,25.79860795,1429.760454,14.1146745,49.3641408
"Cuba*",112.8941417,26,1541.928411,14.2241437,52.39977889
"Cuba*",170.2306993,26.49851692,1261.251567,13.66675774,47.54011354
"Cuba*",784.7262649,26.03853883,1823.530228,13.72408949,44
"Cuba*",711.0848819,26.38977034,2079.786274,13.25732693,30.03324523
"Cuba*",686.9970934,26.43929842,2477.066367,9.005911506,30.64986981
"Cyprus",960.2423259,19.3,934.9640655,22.7,89.14626542
"Derawan*",9.84502171,26.8,1937.690383,8.373441721,14
"Easter*",41.68773892,20.66223696,1157.101286,12.50148434,18
"Falkland*",0,6.89245822923031,471.771564368787,14.6856391095878,20
"Falkland*",190.177190361786,6.8,543.995815984407,13.9063711870232,19.1187178202556
"Falkland*",161.123777166003,6.26993237458142,599.600555145035,13.2185782673946,19
"Falkland*",67.0510183927213,5.8713601740858,608.269915303072,13.003047617513,19
"Falkland*",46.3580122153259,6.06407201602183,592.433767243693,13.2412539651562,19
"Falkland*",6.61420038969878,5.75490869763418,607,13.058662800017,19
"Falkland*",85.3196265800805,6.3,534.444357806026,13.9281659496256,19.9370509200541
"Falkland*",2.50987754869322,6.37133508002698,474.164277499103,14.622727075662,20.9929255676922
"Fiji*",753.8748064,25.3,3106.549781,9.870139827,28.6552712
"Gambier*",0,24.5,1806.416901,9.1,13
"Gambier*",0,24.5,1605.967969,9.1,17.51601541
"Gambier*",0,24.5,1606.473601,9.1,17.26319964
"Gambier*",0,24.5,1544.976199,9.1,20
"Gambier*",0,24.5,1573.91182,9.1,18
"Gilbert*",0,28.7,1739,6.1,27
"Gilbert*",0,28.6,1477.401046,6,35
"Gilbert*",0,28.6,1464.345852,6,28
"Gilbert*",0,28.4,1288,6,30
"Gilbert*",0,28.4,1416,6,32
"Gilbert*",0,28.6,1255.333439,6,28
"Gilbert*",0,28.2,1453,5.8,24
"Gilbert*",0,28.2,1556,5.8,26.3278425
"Gilbert*",0,28.1,2055.303007,5.76399762,18
"Gilbert*",0,28,2115,5.70524867,25
"Gilbert*",0,27.8,3156.038675,5.655093507,21.13259771
"Gilbert*",0,27.8,3168,5.641842035,20
"Greek*",333.2795941,18.34962065,564.5637849,19.14057857,69.49328526
"Gulf*",0,23.8,194.1366086,26,85.51590342
"Gulf*",583.0659077,24.53298865,316.3466671,23.23134856,76.61729087
"Gulf*",950.7023373,24,246.2538791,25.83549187,73.40582854
"Gulf*",589.666988,23.3,181.5020115,27.32383581,61.70260126
"Gulf*",255.156075,23.29610075,155.4719849,28.81663884,57.82311708
"Hawaii",3210.485973,23.34075244,4820.502631,11.45757949,21.26996001
"Hawaii",2492.026316,23.65965753,1584.937247,11.41659625,11.23051936
"Hawaii",1121.340417,23.75740112,1249.579207,11.40050082,10.4641139
"Hawaii",2728.988272,23.62949901,4723.467558,11.2,15.21844911
"Hawaii",1482.612414,23.57340493,3623.925438,11.5,24.98330802
"Hawaii",1853.805719,24.3,2710.060578,11.62650813,30.88375829
"Hawaii",251.4408724,24.37517451,3232.66896,11.65585041,17.69822236
"Hawaii",0,23.9,169,12.9,122
"Hawaii",324.2289616,24.28969093,3167.326186,11.63092721,18.92587642
"Hawaii",740.2329235,23.8,3305.106542,12.42349366,20.3713422
"Hawaii",0,23.5,772,13,53
"Hispaniola*",746.143819,26.66211748,1825.430495,12.59328712,28.80110691
"Hispaniola*",1945.744591,26.92539425,1873.424026,13.39706892,31.85343405
"Hispaniola*",1696.008382,26.2844781,2068.00713,11.4,18.20932993
"Hispaniola*",965.8802419,26.7,2697.637741,12.36874391,28.56723712
"Hispaniola*",1354.226839,26.69629337,1882.566009,14.20947376,45.65864468
"Hispaniola*",1676.837012,27.97846962,1717.304394,12.33752636,50.02372646
"Hispaniola*",178.0153008,26.57676766,1643.941704,10.44920072,29
"Hispaniola*",680.7450109,26.6533048,2943.684596,11.1,20.25780799
"Izu*",0,19.04575112,2821.508501,20.42712444,32
"Izu*",13.30527836,18.55163949,3087.778684,21.30401615,31
"Izu*",0,17.30558468,2729.980737,21.76991818,31.09645553
"Izu*",136.2874482,16.4702187,2631.148607,23.18758202,32
"Izu*",1289.415516,16.59347773,2610.571559,23.73550742,34.35507425
"Kermadec*",0,18.89972484,1564.874832,13.63134646,16
"Kermadec*",0,19.28006079,1587.523161,13.62211108,16
"Kurile*",464.2580423,5.092809096,1527.900418,26.53571653,30
"Leeward Antilles",82.71584681,27.9,754.6752975,9.3,52
"Leeward Antilles",0,27.91282143,454.1476366,8.521309084,61.23360886
"Leeward Antilles",0,27.86697525,533,9.335009132,55.08063196
"Leeward Antilles",0,27.99376818,454.3585526,8.4,60.11895005
"Leeward Antilles",0,27.90049437,345.0218464,8.699505632,62.07261496
"Leeward Antilles",5.028001965,27.9,528.429959,8.7,58.05032696
"Leeward Antilles",6.309972081,27.6,514,7.2,68.83868248
"Leeward Antilles",11.8234582,27.48839497,606.5198708,8.344893216,58.45919168
"Lesser Sunda*",131.0455154,27.24439615,1996.191172,9.506928535,61
"Lesser Sunda*",1359.992996,25.5,3929.964938,12.33696701,73
"Lesser Sunda*",1216.680547,26,3454.755171,13.45286247,59.91586359
"Lesser Sunda*",1332.993379,26.9,1742.681743,10.23000806,57.83200488
"Line*",0,28.7,1453.739399,6.5,29
"Line*",0,29.1,1293.112003,6.7,31
"Louisiade*",89.36764092,26.5,3299.230908,8.3,19
"Louisiade*",4.099795624,26.5,1787.707751,8.315078853,44.85135886
"Louisiade*",130.5282689,26.51291428,3403.014064,8.3,17.39964545
"Louisiade*",7.803320866,26.6,3044.762733,8.414467295,13
"Madagascar",1956.024773,26.79872134,2115.900634,10.9,87.01564039
"Madagascar",1310.911746,26.53038362,1781.311592,11.6,37
"Madagascar",1866.61924699,26.72591095,1880.569598,13.36843637,80.11918398
"Madagascar",1727.295887,24.81963323,2247.760273,12.43537547,37
"Madagascar",206.3200464,26.88178022,1595.303816,16.11803576,111.8664015
"Madagascar",1109.9115407,26.39056598,1818.083212,15.67758866,75.01533688
"Madagascar",1115.303755,24.67293221,3270.578367,12.02041702,37
"Madagascar",247.5435324,26.8,1481.463798,13.80603718,116.1528398
"Madagascar",199.007219945,27.29144426,1567.03902,13.43311518,117
"Madagascar",1124.33791279,27.28015356,1697.817282,17.2944606,112.1848881
"Madagascar",914.5206496,25.38983323,2267.999538,13.43688815,52.0174316
"Madagascar",695.15262682,26.58047894,1591.973835,16.98417848,102.0322072
"Madagascar",738.35312548,27.45220655,1813.78671,17.35948552,109.7190992
"Madagascar",1169.20606005,27.31340011,1727.389376,17.3,108.0318447
"Madagascar",1071.3275287,23.84065313,3019.876702,12.39720722,42
"Madagascar",576.9580095,26,1426.845673,14.6,107.9431071
"Madagascar",915.5712188,26.07816539,1694.226092,17.24233881,101.0333074
"Madagascar",1011.1270611,26.12150888,1817.508522,18.5437533,101.5069139
"Madagascar",825.585284,23.73164736,1672.890362,17.57721137,82.89469507
"Madagascar",1281.180498,24.09124624,3251.234061,12.41688553,40
"Madagascar",937.2957765,26.80981845,1687.992633,18.63374972,101.0623344
"Madagascar",1236.8744282,23.68060622,1793.81678,17.91111448,90.22060493
"Madagascar",1126.4837532,21.32793893,2478.593722,15.64455649,57.9301743
"Madagascar",1120.783385,24.1,3080.212348,12.80476623,43.32011613
"Madagascar",828.36375895,27.17209386,1518.853158,20.48892121,102.0203724
"Madagascar",1317.138447,23.58203061,1674.89491,17.98447153,80.55206581
"Madagascar",1786.28491774,23.50765479,2650.693343,13.37428488,48.90617256
"Madagascar",326.6499394,26.08326193,1003.704044,18.46464733,117.0335002
"Madagascar",960.7004823,26.67494825,1486.623578,20.32936732,104.3074548
